head,relation,tail
白菜,是,蔬菜
冰箱,是,电器
甘蔗,是,水果
柑橘,是,水果
拐杖,是,工具
猴子,是,陆生动物
黄瓜,是,蔬菜
火车,是,车
脚后跟,是,身体部位
韭菜,是,蔬菜
老虎,是,陆生动物
老鼠,是,陆生动物
葡萄,是,水果
人行天桥,是,建筑
沙发,是,家具
狮子,是,陆生动物
书柜,是,家具
兔子,是,陆生动物
袜子,是,服饰
喜鹊,是,鸟
牙齿,是,身体部位
椅子,是,家具
雨伞,是,工具
直升机,是,飞机
白菜,有,叶子
白菜,需要,水
白菜,需要,阳光
白菜,有,菜叶
白菜,是,绿色的
白菜,需要,肥料
白菜,像,青菜
白菜,需要,清洗
白菜,有,菜根
白菜,有,茎
白菜,有,营养
白菜,可以,腌制
白菜,是,土中生长的
白菜,像,包菜
白菜,像,翡翠
白菜,像,花
白菜,需要,生长
白菜,有,白菜帮
白菜,有,帮子
鼻子,需要,呼吸
鼻子,有,鼻孔
鼻子,有,鼻毛
鼻子,需要,清洗
鼻子,有,两个孔
鼻子,需要,空气
鼻子,像,耳朵
鼻子,像,山
鼻子,是,五官
鼻子,像,插座
鼻子,像,大蒜
鼻子,需要,畅通
鼻子,有,毛孔
鼻子,有,肉
冰箱,需要,电
冰箱,可以,冷藏
冰箱,可以,保鲜
冰箱,是,家里的
冰箱,是,柜子
冰箱,有,隔层
冰箱,需要,清洗
冰箱,是,家具
冰箱,是,长方形
冰箱,需要,电源
冰箱,有,抽屉
冰箱,有,多种品牌
冰箱,可以,冰冻
冰箱,是,设备
冰箱,像,橱柜
冰箱,需要,保养
餐桌,是,桌子
餐桌,需要,清洗
餐桌,是,圆形
餐桌,像,茶几
餐桌,需要,制造
餐桌,有,桌布
餐桌,像,桌子
餐桌,有,四条腿
餐桌,是,餐具
餐桌,可以,放餐具
餐桌,可以,放盘子
餐桌,可以,放碗
餐桌,像,写字台
餐桌,需要,打扫
餐桌,需要,加工
餐桌,需要,清洁
餐桌,需要,桌布
车库,可以,停车
车库,需要,打扫
车库,是,大的
车库,可以,放车
车库,是,黑暗的
车库,像,盒子
车库,像,地下室
车库,需要,钥匙
衬衫,可以,穿
衬衫,需要,清洗
衬衫,有,袖子
衬衫,可以,保暖
衬衫,需要,熨烫
衬衫,有,多种颜色
衬衫,是,上衣
衬衫,像,外套
衬衫,需要,缝纫
衬衫,需要,设计
衬衫,有,多种样式
衬衫,是,软的
衬衫,需要,晾干
衬衫,需要,阳光
衬衫,有,多种材质
衬衫,可以,打底
衬衫,像,窗帘
衬衫,需要,整理
衬衫,有,花纹
衬衫,有,线
耳朵,是,器官
耳朵,需要,保护
耳朵,需要,清洗
耳朵,其他,人
耳朵,像,3
耳朵,有,耳膜
耳朵,是,五官
耳朵,有,耳道
耳朵,可以,打耳洞
耳朵,有,多种形状
耳朵,有,神经
耳朵,是,成对的
耳朵,是,小的
耳朵,像,喇叭
耳朵,像,蒲扇
耳朵,有,耳屎
耳朵,有,软骨
耳朵,有,血管
帆船,有,帆布
帆船,有,布
帆船,是,水上工具
帆船,需要,人
帆船,有,木板
帆船,有,桅杆
甘蔗,需要,水
甘蔗,需要,阳光
甘蔗,像,棍棒
甘蔗,有,皮
甘蔗,有,水
甘蔗,有,糖
甘蔗,需要,空气
甘蔗,有,维生素
甘蔗,有,果肉
甘蔗,有,蔗糖
甘蔗,有,脂肪
柑橘,是,甜的
柑橘,需要,水
柑橘,是,橘子
柑橘,需要,空气
柑橘,需要,阳光
柑橘,需要,种植
柑橘,有,籽
柑橘,像,球
柑橘,需要,营养
柑橘,可以,解渴
柑橘,像,柚子
柑橘,有,果实
柑橘,有,维生素
柑橘,可以,冲泡
柑橘,其他,橘生淮北则为枳
柑橘,其他,橘生淮南则为橘
柑橘,是,好吃的
柑橘,是,清香的
柑橘,像,灯笼
柑橘,像,柿子
高速公路,需要,维护
高速公路,可以,行驶
高速公路,需要,收费
高速公路,可以,高速行驶
高速公路,是,宽广的
高速公路,需要,保养
高速公路,其他,交通
高速公路,是,黑色的
高速公路,是,弯的
高速公路,像,公路
高速公路,需要,限速
高速公路,有,油漆
鸽子,有,翅膀
鸽子,需要,水
鸽子,有,羽毛
鸽子,可以,送信
鸽子,有,爪子
鸽子,是,白色的
鸽子,需要,空气
鸽子,像,麻雀
鸽子,需要,谷物
鸽子,有,多种颜色
鸽子,可以,传信
鸽子,是,生物
鸽子,像,喜鹊
鸽子,像,燕子
鸽子,需要,训练
鸽子,有,脚
鸽子,是,聪明的
鸽子,是,灰色的
鸽子,是,家养的
拐杖,是,棍棒
拐杖,有,把手
拐杖,可以,买卖
拐杖,是,长的
拐杖,可以,行走
拐杖,有,多种材质
拐杖,可以,打人
拐杖,是,硬的
拐杖,像,竹子
拐杖,需要,设计
拐杖,可以,拿
拐杖,可以,探路
拐杖,是,条状的
拐杖,是,医疗用品
拐杖,需要,支撑
拐杖,有,油漆
猴子,像,人
猴子,有,尾巴
猴子,需要,保护
猴子,需要,水
猴子,可以,跳
猴子,有,四肢
猴子,有,嘴巴
猴子,可以,爬树
猴子,像,猩猩
猴子,需要,睡觉
猴子,是,灵长类
猴子,有,皮肤
猴子,有,手臂
黄瓜,是,绿色的
黄瓜,是,长的
黄瓜,需要,种植
黄瓜,需要,土
黄瓜,有,籽
黄瓜,可以,生吃
黄瓜,是,条状的
黄瓜,需要,采摘
黄瓜,像,棍棒
黄瓜,需要,空气
黄瓜,有,营养
黄瓜,需要,削皮
黄瓜,有,把手
黄瓜,有,瓜皮
黄瓜,有,维生素C
黄瓜,可以,干吃
黄瓜,像,擀面杖
黄瓜,有,多种型号
火车,需要,司机
火车,有,车头
火车,需要,电
火车,可以,乘坐
火车,需要,驾驶
火车,可以,行驶
火车,像,高铁
火车,需要,铁轨
火车,需要,动力
火车,需要,买票
火车,像,龙
火车,需要,燃料
火车,可以,运输
火车,可以,载人
火车,是,多节的
火车,需要,清洗
火车,有,车身
火车,有,车尾
火车,有,高铁
夹克,是,衣服
夹克,可以,保暖
夹克,可以,买卖
夹克,需要,缝纫
夹克,可以,运动
夹克,是,装备
夹克,有,领子
夹克,是,皮的
夹克,是,上衣
夹克,需要,爱护
夹克,需要,设计
夹克,需要,透气
夹克,可以,防水
夹克,是,户外的
夹克,是,酷的
夹克,需要,晾干
夹克,有,多种品牌
肩膀,其他,人
肩膀,可以,背
肩膀,是,胳膊
肩膀,有,关节
肩膀,有,血管
肩膀,是,宽的
肩膀,像,膝盖
肩膀,需要,按摩
肩膀,有,肌肉
肩膀,需要,清洗
肩膀,有,两个
剪刀,有,把手
剪刀,需要,小心
剪刀,可以,剪裁
剪刀,可以,剪纸
剪刀,是,尖的
剪刀,是,塑料
剪刀,像,燕子的尾巴
剪刀,有,多种型号
剪刀,有,螺丝
剪刀,可以,裁剪
剪刀,是,常见的
剪刀,需要,擦
剪刀,需要,铁
脚后跟,是,脚
脚后跟,有,皮肤
脚后跟,有,骨骼
脚后跟,其他,人
脚后跟,需要,清洗
脚后跟,可以,行走
脚后跟,需要,穿袜子
脚后跟,有,死皮
脚后跟,是,厚的
轿车,是,工具
轿车,有,座位
轿车,可以,代步
轿车,需要,保养
轿车,有,方向盘
轿车,像,房屋
轿车,像,面包车
轿车,有,车厢
轿车,像,马车
轿车,像,跑车
轿车,需要,燃料
轿车,有,挡风玻璃
轿车,有,轱辘
韭菜,像,葱
韭菜,需要,空气
韭菜,可以,炒
韭菜,需要,清洗
韭菜,有,茎
韭菜,是,臭的
韭菜,像,大蒜
韭菜,需要,肥料
韭菜,需要,烹饪
卡车,可以,运输
卡车,需要,保养
卡车,需要,加油
卡车,需要,驾驶
卡车,有,驾驶室
卡车,可以,拉货
卡车,有,发动机
卡车,可以,搬运
卡车,有,载货箱
裤子,可以,穿
裤子,是,衣服
裤子,可以,保暖
裤子,有,多种样式
裤子,需要,缝纫
裤子,有,多种颜色
裤子,有,多种种类
裤子,有,裤腰
裤子,有,拉链
裤子,需要,熨烫
裤子,需要,制造
裤子,是,长的
裤子,有,多种型号
裤子,有,两条腿
裤子,有,腿
裤子,可以,保护
裤子,有,短裤
裤子,有,扣子
裤子,有,牛仔裤
筷子,可以,进食
筷子,像,棍棒
筷子,是,成对的
筷子,是,生活用品
筷子,有,多种种类
筷子,可以,夹取食物
筷子,是,日常的
筷子,是,塑料
筷子,有,两根
老虎,像,猫
老虎,有,牙齿
老虎,有,毛
老虎,需要,水
老虎,有,嘴巴
老虎,是,哺乳类
老虎,有,眼睛
老虎,有,耳朵
老虎,有,花纹
老虎,有,皮肤
老虎,是,大的
老虎,可以,观赏
老虎,是,猫科
老虎,需要,肉
老虎,有,多种种类
老虎,可以,繁衍
老虎,可以,跳
老虎,可以,咬
老虎,可以,游泳
老虎,是,生物
老虎,需要,饲养
老鼠,有,尾巴
老鼠,有,眼睛
老鼠,有,毛
老鼠,有,牙齿
老鼠,有,四肢
老鼠,可以,打洞
老鼠,是,哺乳类
老鼠,有,皮肤
老鼠,是,灰色的
老鼠,有,鼻子
老鼠,有,胡子
老鼠,可以,传播疾病
老鼠,可以,偷吃东西
老鼠,可以,跑
老鼠,是,生物
老鼠,是,有害的
老鼠,有,身体
老鼠,可以,挖洞
老鼠,需要,呼吸
老鼠,有,头
老鼠,有,须
老鼠,有,长尾巴
立交桥,是,桥
立交桥,是,道路
立交桥,可以,通行
立交桥,像,蜘蛛网
立交桥,需要,建
立交桥,有,钢筋
萝卜,需要,空气
萝卜,是,白色的
萝卜,需要,阳光
萝卜,有,根
萝卜,有,皮
萝卜,像,胡罗卜
萝卜,是,脆的
萝卜,是,绿色的
萝卜,像,棒槌
萝卜,像,红薯
萝卜,可以,买卖
萝卜,可以,腌制
萝卜,是,根茎
萝卜,是,药
萝卜,像,胡巴
萝卜,像,土豆
萝卜,有,纤维
萝卜,有,种子
麻雀,可以,飞
麻雀,有,嘴巴
麻雀,需要,空气
麻雀,有,爪子
麻雀,是,小的
麻雀,是,棕色的
麻雀,需要,阳光
麻雀,是,灰色的
麻雀,可以,捕虫
麻雀,像,喜鹊
麻雀,有,多种种类
麻雀,有,两只脚
麻雀,有,身体
麻雀,有,四肢
马桶,有,水箱
马桶,是,桶
马桶,是,生活用品
马桶,是,陶瓷
马桶,需要,安装
马桶,需要,设计
马桶,需要,刷
马桶,是,日常的
马桶,是,硬的
马桶,是,坐便器
马桶,需要,擦
马桶,需要,消毒
马桶,有,按键
马桶,有,马桶垫
猫头鹰,像,猫
猫头鹰,有,嘴巴
猫头鹰,是,晚上的
猫头鹰,需要,睡觉
猫头鹰,可以,捕猎
猫头鹰,有,大眼睛
猫头鹰,需要,老鼠
猫头鹰,有,毛
猫头鹰,像,鹰
猫头鹰,是,禽类
猫头鹰,需要,水
猫头鹰,可以,捕老鼠
猫头鹰,可以,夜视
猫头鹰,是,可爱的
猫头鹰,有,尖嘴巴
猫头鹰,有,脚
毛衣,有,毛线
毛衣,有,毛
毛衣,像,秋衣
毛衣,可以,买卖
毛衣,可以,御寒
毛衣,需要,织
毛衣,是,纺织品
毛衣,像,卫衣
毛衣,可以,挡风
毛衣,是,厚的
毛衣,是,生活用品
毛衣,像,大衣
毛衣,像,外套
毛衣,像,线衣
毛衣,需要,晾干
毛衣,有,纤维
毛衣,有,袖子
茅草屋,需要,草
茅草屋,是,房屋
茅草屋,需要,搭建
茅草屋,有,门
茅草屋,有,屋顶
茅草屋,有,窗户
茅草屋,是,简陋的
茅草屋,需要,维护
茅草屋,有,墙
茅草屋,可以,挡风
茅草屋,需要,建造
茅草屋,可以,御寒
茅草屋,其他,杜甫
茅草屋,是,脆弱的
茅草屋,有,泥土
摩托车,其他,交通
摩托车,需要,油
摩托车,需要,加油
摩托车,有,把手
摩托车,有,发动机
摩托车,有,座位
摩托车,像,自行车
摩托车,像,电动车
摩托车,有,多种样式
摩托车,有,两个轮子
摩托车,可以,发声
摩托车,是,危险的
摩托车,有,排气管
摩托车,有,仪表盘
奶牛,是,黑色的
奶牛,是,黑白的
奶牛,需要,草
奶牛,有,花纹
奶牛,需要,水
奶牛,需要,饲养
奶牛,像,羊
奶牛,需要,空气
奶牛,有,奶
奶牛,有,四肢
奶牛,可以,生产牛奶
奶牛,是,家养的
奶牛,需要,保护
奶牛,需要,草料
奶牛,需要,喂草
喷泉,是,水
喷泉,可以,观赏
喷泉,可以,喷水
喷泉,是,景观
喷泉,需要,电
喷泉,是,装饰
喷泉,可以,娱乐
喷泉,是,泉水
喷泉,需要,动力
喷泉,需要,建造
喷泉,有,多种样式
喷泉,其他,广场
喷泉,是,雕塑
喷泉,是,公共的
喷泉,像,水龙头
喷泉,需要,维护
喷泉,有,多种颜色
喷泉,有,喷嘴
喷泉,有,水泵
喷泉,有,水管
苹果,是,甜的
苹果,有,果核
苹果,需要,水
苹果,需要,削皮
苹果,需要,阳光
苹果,需要,土
苹果,需要,空气
苹果,需要,清洗
苹果,是,脆的
苹果,可以,买卖
苹果,需要,收割
葡萄,有,籽
葡萄,是,甜的
葡萄,可以,酿酒
葡萄,需要,采摘
葡萄,需要,清洗
葡萄,是,绿色的
葡萄,是,酸的
葡萄,需要,空气
葡萄,需要,土
葡萄,有,葡萄皮
葡萄,可以,买卖
葡萄,需要,剥开
葡萄,像,宝石
葡萄,像,眼睛
葡萄,有,果实
葡萄,有,糖
葡萄,有,维生素
葡萄,有,汁水
葡萄,可以,观赏
葡萄,可以,晒
葡萄,其他,安胎
葡萄,需要,营养
葡萄,有,水
葡萄,有,叶子
茄子,是,紫色的
茄子,需要,水
茄子,可以,炒
茄子,需要,土
茄子,需要,空气
茄子,是,绿色的
茄子,是,圆形
茄子,需要,采摘
茄子,需要,烹饪
茄子,像,黄瓜
茄子,需要,肥料
茄子,需要,清洗
茄子,是,瓜
茄子,是,条状的
茄子,像,气球
茄子,像,西红柿
茄子,像,月亮
茄子,有,果肉
茄子,有,茎
人行天桥,是,道路
人行天桥,需要,建造
人行天桥,是,设施
人行天桥,有,扶手
人行天桥,是,安全的
人行天桥,需要,修建
人行天桥,有,钢筋
人行天桥,是,便利的
人行天桥,可以,过马路
人行天桥,是,金属
人行天桥,是,空中的
人行天桥,像,地下通道
人行天桥,需要,铁
人行天桥,有,支架
扫帚,可以,打扫
扫帚,有,毛
扫帚,可以,清洁
扫帚,像,扇子
扫帚,是,用品
扫帚,可以,清扫
扫帚,是,塑料
扫帚,需要,更换
扫帚,有,多种长度
扫帚,有,杆子
沙发,像,椅子
沙发,有,海绵
沙发,是,舒服的
沙发,有,多种材质
沙发,可以,买卖
沙发,需要,制造
沙发,有,布
沙发,是,词汇
沙发,是,长的
沙发,需要,设计
沙发,有,多种型号
沙发,有,多种颜色
沙发,有,扶手
沙发,有,棉花
沙发,可以,看视频
沙发,是,方形的
沙发,是,硬的
沙发,需要,清理
沙发,有,弹簧
沙发,有,多种种类
沙发,有,软垫
纱布,是,棉的
纱布,可以,包扎伤口
纱布,是,白色的
纱布,是,纺织品
纱布,可以,包裹
纱布,可以,买卖
纱布,是,药
纱布,像,胶带
纱布,像,渔网
纱布,可以,保护
纱布,可以,保护伤口
纱布,是,薄的
纱布,是,透气的
纱布,是,用品
纱布,像,毛巾
纱布,需要,干燥
纱布,需要,剪刀
纱布,有,宽度
狮子,是,肉食类
狮子,可以,捕猎
狮子,像,老虎
狮子,像,猫
狮子,需要,睡觉
狮子,有,四肢
狮子,有,鼻子
狮子,是,猫科
狮子,有,锋利的牙齿
狮子,有,耳朵
狮子,是,兽类
狮子,需要,呼吸
狮子,有,锋利的爪子
狮子,可以,吃人
狮子,可以,观赏
狮子,可以,咬
狮子,有,雌的
狮子,有,皮肤
狮子,可以,伤人
狮子,是,非洲的
狮子,是,快速的
狮子,是,王
狮子,需要,领地
手掌,有,手指
手掌,有,掌心
手掌,有,骨骼
手掌,可以,击掌
手掌,可以,打人
手掌,像,脚
手掌,有,血液
手掌,可以,写字
手掌,是,厚的
手掌,是,软的
手掌,有,表皮
手掌,有,血管
书柜,像,衣柜
书柜,有,隔层
书柜,有,架子
书柜,需要,清理
天鹅,可以,飞
天鹅,有,脖子
天鹅,需要,空气
天鹅,有,长脖子
天鹅,需要,阳光
天鹅,有,头
天鹅,可以,跑
天鹅,是,优美的
天鹅,像,鸡
天鹅,有,脚
土豆,有,淀粉
土豆,需要,土
土豆,可以,炒
土豆,是,圆形
土豆,需要,清洗
土豆,需要,水
土豆,可以,饱腹
土豆,像,球
土豆,是,椭圆形
土豆,是,棕色的
土豆,像,苹果
土豆,需要,采摘
土豆,需要,炖
土豆,需要,加工
土豆,有,薄皮
土豆,有,茎
兔子,有,耳朵
兔子,需要,饲养
兔子,是,白色的
兔子,可以,跑
兔子,需要,草
兔子,需要,胡罗卜
兔子,需要,睡觉
兔子,像,老鼠
兔子,是,哺乳类
兔子,像,猫
兔子,是,灰色的
兔子,像,毛线球
兔子,需要,呼吸
兔子,需要,萝卜
兔子,是,啮齿类
兔子,需要,食用
袜子,需要,清洗
袜子,可以,保护
袜子,是,棉的
袜子,有,布
袜子,可以,保护脚
袜子,可以,买卖
袜子,其他,脚
袜子,有,多种样式
袜子,是,成对的
袜子,像,袋子
袜子,像,鞋
袜子,有,多种种类
袜子,有,两只
袜子,有,线
袜子,是,舒服的
袜子,有,多种材质
袜子,有,袜筒
围巾,需要,清洗
围巾,是,衣服
围巾,有,多种颜色
围巾,有,多种材质
围巾,可以,戴
围巾,可以,围在脖子上
围巾,是,温暖的
围巾,需要,编织
围巾,有,毛
围巾,可以,挡风
围巾,像,披风
围巾,有,布
围巾,有,纹路
西瓜,需要,土
西瓜,需要,阳光
西瓜,是,甜的
西瓜,需要,切
西瓜,有,果肉
西瓜,可以,解渴
西瓜,有,瓜瓤
西瓜,需要,采摘
西瓜,可以,买卖
西瓜,有,瓜皮
西瓜,有,水
西瓜,是,重的
西瓜,像,冬瓜
西瓜,有,花纹
西瓜,是,大的
西瓜,是,黑色的
西瓜,是,药
西瓜,像,南瓜
西瓜,有,瓤
西瓜,有,肉
西瓜,有,种子
喜鹊,需要,水
喜鹊,有,嘴巴
喜鹊,需要,空气
喜鹊,像,乌鸦
喜鹊,有,眼睛
喜鹊,可以,报喜
喜鹊,像,鸽子
喜鹊,需要,虫
喜鹊,有,多种颜色
喜鹊,有,尾巴
喜鹊,可以,观赏
喜鹊,是,白色的
喜鹊,是,黑白的
喜鹊,是,喜庆的
喜鹊,有,头
喜鹊,可以,捕猎
喜鹊,是,禽类
喜鹊,是,小的
喜鹊,需要,筑巢
香蕉,有,皮
香蕉,有,果肉
香蕉,是,甜的
香蕉,需要,采摘
香蕉,需要,土
香蕉,可以,晒干
香蕉,是,香的
香蕉,需要,空气
香蕉,有,种子
香蕉,需要,扒皮
香蕉,需要,保鲜
香蕉,有,多种种类
牙齿,是,白色的
牙齿,像,石头
牙齿,需要,保护
牙齿,是,器官
牙齿,可以,咬
牙齿,有,碳酸钙
牙齿,需要,刷牙
牙齿,可以,咬合
牙齿,像,宝石
牙齿,像,刀
牙齿,像,锯齿
牙齿,像,钻石
牙齿,有,多种形状
牙齿,有,多种种类
燕子,有,翅膀
燕子,有,羽毛
燕子,是,黑色的
燕子,需要,虫
燕子,像,剪刀
燕子,需要,空气
燕子,有,脚
燕子,可以,繁衍
燕子,像,大雁
燕子,像,飞机
燕子,像,喜鹊
燕子,需要,阳光
燕子,可以,叫
燕子,可以,迁徙
燕子,有,剪刀似的尾巴
椅子,有,腿
椅子,可以,休息
椅子,有,扶手
椅子,是,金属
椅子,像,床
椅子,有,座位
椅子,有,多种型号
椅子,有,座垫
雨伞,可以,挡雨
雨伞,需要,制造
雨伞,有,伞面
雨伞,是,生活用品
雨伞,需要,撑开
雨伞,有,把手
雨伞,有,多种样式
雨伞,是,圆形
雨伞,有,多种型号
雨伞,有,伞布
雨伞,可以,防晒
雨伞,是,便携的
雨伞,是,伞
雨伞,需要,保存
雨伞,有,伞架
雨伞,像,雨衣
雨伞,需要,随身携带
直升机,可以,飞
直升机,是,工具
直升机,可以,救援
直升机,需要,动力
直升机,是,器械
直升机,需要,飞行员
直升机,需要,油
直升机,有,发动机
直升机,有,机舱
直升机,像,蜻蜓
直升机,需要,加油
直升机,有,座位
直升机,可以,代步
直升机,是,战争
直升机,像,火箭
直升机,需要,研究
直升机,有,玻璃
直升机,有,单旋翼式
直升机,有,双旋翼式
直升机,有,引擎
