head,relation,tail,熟悉度-familiarity,实体性-concretness,上级类别,下级类别,覆盖范围-coverage,impair
白菜,是,蔬菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,可以,食用,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,植物,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,叶子,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,水,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,需要,阳光,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,白色的,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,是,食物,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,菜叶,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,是,绿色的,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,空气,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,根,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,可以,炒,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,肥料,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,土,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,水,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,维生素,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,是,黄色的,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,青菜,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,卷心菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,青菜,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,娃娃菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,玉石,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,呼吸,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,清洗,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,需要,种植,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,菜根,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,茎,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,纤维,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,营养,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,可以,切,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,可以,腌制,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,土中生长的,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,是,椭圆形,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,包菜,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,像,翡翠,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,花,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,胖娃娃,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,像,球,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,买,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,需要,杀虫,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,需要,生长,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,白菜帮,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,帮子,9.0,9.0,植物,蔬菜,0.767599337,1
白菜,有,菜心,9.0,9.0,植物,蔬菜,0.767599337,0
白菜,有,多种种类,9.0,9.0,植物,蔬菜,0.767599337,0
鼻子,需要,呼吸,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,是,器官,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,有,鼻孔,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,有,毛,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,鼻毛,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,孔,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,需要,保护,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,其他,动物,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,是,人的,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,是,身体部位,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,需要,清洗,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,有,鼻涕,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,两个孔,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,可以,闻气味,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,可以,嗅,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,需要,空气,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,像,耳朵,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,像,三角形,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,像,山,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,有,鼻梁,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,骨骼,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,肌肉,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,可以,呼吸空气,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,可以,流鼻血,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,可以,擤鼻涕,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,是,软的,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,是,五官,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,像,插座,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,像,大蒜,9.0,9.0,身体部位,身体部位,0.700202786,1
鼻子,像,漏斗,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,像,山洞,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,需要,畅通,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,需要,清洁,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,需要,清理,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,毛孔,9.0,9.0,身体部位,身体部位,0.700202786,0
鼻子,有,肉,9.0,9.0,身体部位,身体部位,0.700202786,1
冰箱,需要,电,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,电器,9.0,9.0,人造物,电器,0.68782897,0
冰箱,可以,冷藏,9.0,9.0,人造物,电器,0.68782897,0
冰箱,可以,冷冻,9.0,9.0,人造物,电器,0.68782897,1
冰箱,可以,保鲜,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,家里的,9.0,9.0,人造物,电器,0.68782897,1
冰箱,有,门,9.0,9.0,人造物,电器,0.68782897,0
冰箱,可以,保存食物,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,柜子,9.0,9.0,人造物,电器,0.68782897,1
冰箱,像,衣柜,9.0,9.0,人造物,电器,0.68782897,0
冰箱,可以,储物,9.0,9.0,人造物,电器,0.68782897,0
冰箱,像,箱子,9.0,9.0,人造物,电器,0.68782897,0
冰箱,有,灯,9.0,9.0,人造物,电器,0.68782897,1
冰箱,有,隔层,9.0,9.0,人造物,电器,0.68782897,1
冰箱,需要,清洗,9.0,9.0,人造物,电器,0.68782897,1
冰箱,有,多种型号,9.0,9.0,人造物,电器,0.68782897,1
冰箱,可以,买卖,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,工具,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,家具,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,冷的,9.0,9.0,人造物,电器,0.68782897,1
冰箱,是,长方形,9.0,9.0,人造物,电器,0.68782897,0
冰箱,像,冰窖,9.0,9.0,人造物,电器,0.68782897,0
冰箱,像,洗衣机,9.0,9.0,人造物,电器,0.68782897,1
冰箱,需要,电源,9.0,9.0,人造物,电器,0.68782897,0
冰箱,有,抽屉,9.0,9.0,人造物,电器,0.68782897,0
冰箱,有,多种品牌,9.0,9.0,人造物,电器,0.68782897,0
冰箱,可以,冰冻,9.0,9.0,人造物,电器,0.68782897,1
冰箱,可以,储存食物,9.0,9.0,人造物,电器,0.68782897,0
冰箱,可以,冻冰块,9.0,9.0,人造物,电器,0.68782897,1
冰箱,可以,降温,9.0,9.0,人造物,电器,0.68782897,0
冰箱,是,设备,9.0,9.0,人造物,电器,0.68782897,0
冰箱,像,橱柜,9.0,9.0,人造物,电器,0.68782897,0
冰箱,像,盒子,9.0,9.0,人造物,电器,0.68782897,0
冰箱,像,自动售货机,9.0,9.0,人造物,电器,0.68782897,1
冰箱,需要,保养,9.0,9.0,人造物,电器,0.68782897,0
冰箱,需要,充电,9.0,9.0,人造物,电器,0.68782897,0
冰箱,需要,清洁,9.0,9.0,人造物,电器,0.68782897,0
冰箱,有,多种种类,9.0,9.0,人造物,电器,0.68782897,0
冰箱,有,格子,9.0,9.0,人造物,电器,0.68782897,1
冰箱,有,食物,9.0,9.0,人造物,电器,0.68782897,0
餐桌,是,家具,9.0,9.0,人造物,家具,0.679298093,0
餐桌,是,木的,9.0,9.0,人造物,家具,0.679298093,1
餐桌,有,腿,9.0,9.0,人造物,家具,0.679298093,0
餐桌,可以,进食,9.0,9.0,人造物,家具,0.679298093,0
餐桌,是,桌子,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,桌面,9.0,9.0,人造物,家具,0.679298093,0
餐桌,可以,储物,9.0,9.0,人造物,家具,0.679298093,0
餐桌,是,方形的,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,清洗,9.0,9.0,人造物,家具,0.679298093,1
餐桌,是,圆形,9.0,9.0,人造物,家具,0.679298093,0
餐桌,像,茶几,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,制造,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,多种形状,9.0,9.0,人造物,家具,0.679298093,1
餐桌,有,桌布,9.0,9.0,人造物,家具,0.679298093,0
餐桌,可以,摆放,9.0,9.0,人造物,家具,0.679298093,0
餐桌,像,桌子,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,擦,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,多种种类,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,四条腿,9.0,9.0,人造物,家具,0.679298093,0
餐桌,是,餐具,9.0,9.0,人造物,家具,0.679298093,0
餐桌,是,工具,9.0,9.0,人造物,家具,0.679298093,1
餐桌,需要,清理,9.0,9.0,人造物,家具,0.679298093,1
餐桌,有,餐具,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,多种颜色,9.0,9.0,人造物,家具,0.679298093,1
餐桌,可以,放餐具,9.0,9.0,人造物,家具,0.679298093,0
餐桌,可以,放饭菜,9.0,9.0,人造物,家具,0.679298093,1
餐桌,可以,放盘子,9.0,9.0,人造物,家具,0.679298093,1
餐桌,可以,放碗,9.0,9.0,人造物,家具,0.679298093,0
餐桌,可以,使用,9.0,9.0,人造物,家具,0.679298093,0
餐桌,可以,用来吃饭,9.0,9.0,人造物,家具,0.679298093,0
餐桌,像,方块,9.0,9.0,人造物,家具,0.679298093,1
餐桌,像,麻将桌,9.0,9.0,人造物,家具,0.679298093,1
餐桌,像,写字台,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,打扫,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,加工,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,清洁,9.0,9.0,人造物,家具,0.679298093,0
餐桌,需要,桌布,9.0,9.0,人造物,家具,0.679298093,1
餐桌,有,多种材质,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,桌板,9.0,9.0,人造物,家具,0.679298093,0
餐桌,有,桌角,9.0,9.0,人造物,家具,0.679298093,0
车库,可以,停车,9.0,8.67,人造物,建筑,0.606607757,0
车库,需要,打扫,9.0,8.67,人造物,建筑,0.606607757,1
车库,是,房屋,9.0,8.67,人造物,建筑,0.606607757,0
车库,有,门,9.0,8.67,人造物,建筑,0.606607757,1
车库,有,车,9.0,8.67,人造物,建筑,0.606607757,0
车库,是,建筑,9.0,8.67,人造物,建筑,0.606607757,0
车库,是,空间,9.0,8.67,人造物,建筑,0.606607757,1
车库,是,场所,9.0,8.67,人造物,建筑,0.606607757,0
车库,是,大的,9.0,8.67,人造物,建筑,0.606607757,0
车库,是,空的,9.0,8.67,人造物,建筑,0.606607757,0
车库,是,宽广的,9.0,8.67,人造物,建筑,0.606607757,0
车库,像,储藏室,9.0,8.67,人造物,建筑,0.606607757,1
车库,像,停车场,9.0,8.67,人造物,建筑,0.606607757,1
车库,有,灯,9.0,8.67,人造物,建筑,0.606607757,0
车库,可以,放车,9.0,8.67,人造物,建筑,0.606607757,1
车库,可以,放杂物,9.0,8.67,人造物,建筑,0.606607757,1
车库,可以,买卖,9.0,8.67,人造物,建筑,0.606607757,0
车库,其他,地下,9.0,8.67,人造物,建筑,0.606607757,0
车库,是,黑暗的,9.0,8.67,人造物,建筑,0.606607757,0
车库,像,盒子,9.0,8.67,人造物,建筑,0.606607757,1
车库,有,车位,9.0,8.67,人造物,建筑,0.606607757,1
车库,有,墙,9.0,8.67,人造物,建筑,0.606607757,0
车库,可以,储物,9.0,8.67,人造物,建筑,0.606607757,0
车库,可以,存车,9.0,8.67,人造物,建筑,0.606607757,0
车库,可以,存放车辆,9.0,8.67,人造物,建筑,0.606607757,1
车库,是,阴暗的,9.0,8.67,人造物,建筑,0.606607757,0
车库,像,地下室,9.0,8.67,人造物,建筑,0.606607757,1
车库,像,库房,9.0,8.67,人造物,建筑,0.606607757,0
车库,需要,钥匙,9.0,8.67,人造物,建筑,0.606607757,0
车库,有,大门,9.0,8.67,人造物,建筑,0.606607757,1
车库,有,面积,9.0,8.67,人造物,建筑,0.606607757,0
车库,有,柱子,9.0,8.67,人造物,建筑,0.606607757,0
衬衫,是,衣服,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,可以,穿,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,领子,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,扣子,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,清洗,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,袖子,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,可以,保暖,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,熨烫,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,是,服饰,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,多种颜色,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,是,上衣,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,布,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,可以,买卖,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,像,外套,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,是,正式的,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,缝纫,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,设计,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,需要,制造,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,多种样式,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,是,软的,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,需要,剪裁,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,晾干,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,阳光,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,袋子,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,多种材质,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,可以,打底,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,可以,御寒,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,是,白色的,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,像,窗帘,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,像,西装,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,像,纸,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,需要,整理,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,多种价格,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,多种品牌,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,多种种类,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,花纹,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,男款的,9.0,9.0,人造物,服饰,0.801231971,1
衬衫,有,女士的,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,图案,9.0,9.0,人造物,服饰,0.801231971,0
衬衫,有,线,9.0,9.0,人造物,服饰,0.801231971,1
耳朵,可以,听,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,是,器官,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,需要,保护,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳廓,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,需要,清洗,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,其他,人,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳垂,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳蜗,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,是,身体部位,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,像,3,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳膜,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,可以,戴耳环,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,是,五官,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳道,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,可以,打耳洞,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,其他,动物,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,是,软的,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,是,重要的,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,像,蜗牛,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,像,月亮,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,多种形状,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳洞,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,有,骨骼,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,两只,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,神经,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,可以,戴耳机,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,可以,听到声音,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,是,成对的,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,是,小的,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,像,喇叭,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,像,猫耳朵,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,像,木耳,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,像,蒲扇,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,需要,血,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳屎,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,耳眼,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,功能,9.0,9.0,身体部位,身体部位,0.723727486,1
耳朵,有,皮肤,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,软骨,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,听觉,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,血管,9.0,9.0,身体部位,身体部位,0.723727486,0
耳朵,有,猪耳朵,9.0,9.0,身体部位,身体部位,0.723727486,1
帆船,有,帆,8.67,9.0,交通工具,船,0.600791725,0
帆船,其他,交通,8.67,9.0,交通工具,船,0.600791725,1
帆船,是,工具,8.67,9.0,交通工具,船,0.600791725,0
帆船,是,船,8.67,9.0,交通工具,船,0.600791725,1
帆船,有,帆布,8.67,9.0,交通工具,船,0.600791725,0
帆船,需要,风,8.67,9.0,交通工具,船,0.600791725,1
帆船,可以,航行,8.67,9.0,交通工具,船,0.600791725,1
帆船,有,船身,8.67,9.0,交通工具,船,0.600791725,0
帆船,像,树叶,8.67,9.0,交通工具,船,0.600791725,0
帆船,需要,水,8.67,9.0,交通工具,船,0.600791725,0
帆船,有,布,8.67,9.0,交通工具,船,0.600791725,0
帆船,有,船帆,8.67,9.0,交通工具,船,0.600791725,1
帆船,有,船体,8.67,9.0,交通工具,船,0.600791725,0
帆船,有,甲板,8.67,9.0,交通工具,船,0.600791725,0
帆船,可以,划,8.67,9.0,交通工具,船,0.600791725,0
帆船,是,海里的,8.67,9.0,交通工具,船,0.600791725,1
帆船,是,木的,8.67,9.0,交通工具,船,0.600791725,0
帆船,是,水上工具,8.67,9.0,交通工具,船,0.600791725,0
帆船,像,轮船,8.67,9.0,交通工具,船,0.600791725,0
帆船,需要,驾驶,8.67,9.0,交通工具,船,0.600791725,0
帆船,需要,人,8.67,9.0,交通工具,船,0.600791725,0
帆船,有,船员,8.67,9.0,交通工具,船,0.600791725,0
帆船,有,舵,8.67,9.0,交通工具,船,0.600791725,1
帆船,有,木板,8.67,9.0,交通工具,船,0.600791725,1
帆船,有,桅杆,8.67,9.0,交通工具,船,0.600791725,0
甘蔗,是,食物,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,水果,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,甜的,9.0,9.0,植物,水果,0.693467351,0
甘蔗,像,竹子,9.0,9.0,植物,水果,0.693467351,1
甘蔗,需要,水,9.0,9.0,植物,水果,0.693467351,1
甘蔗,需要,阳光,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,植物,9.0,9.0,植物,水果,0.693467351,1
甘蔗,像,棍棒,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,皮,9.0,9.0,植物,水果,0.693467351,0
甘蔗,需要,种植,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,水,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,糖,9.0,9.0,植物,水果,0.693467351,0
甘蔗,需要,空气,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,长的,9.0,9.0,植物,水果,0.693467351,0
甘蔗,需要,肥料,9.0,9.0,植物,水果,0.693467351,1
甘蔗,有,维生素,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,汁水,9.0,9.0,植物,水果,0.693467351,1
甘蔗,需要,土,9.0,9.0,植物,水果,0.693467351,1
甘蔗,需要,削皮,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,叶子,9.0,9.0,植物,水果,0.693467351,0
甘蔗,可以,解渴,9.0,9.0,植物,水果,0.693467351,0
甘蔗,可以,买卖,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,硬的,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,果肉,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,杆状的,9.0,9.0,植物,水果,0.693467351,0
甘蔗,是,黄色的,9.0,9.0,植物,水果,0.693467351,0
甘蔗,像,玉米,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,蛋白质,9.0,9.0,植物,水果,0.693467351,0
甘蔗,有,多种颜色,9.0,9.0,植物,水果,0.693467351,1
甘蔗,有,根,9.0,9.0,植物,水果,0.693467351,1
甘蔗,有,营养,9.0,9.0,植物,水果,0.693467351,1
