node,maincategory,subcategory,closeness_centrality,baseline_original,baseline_new,conflict,new,,
薄荷,植物,水果,0.674020352,0,0,0,0,,
草莓,植物,水果,0.673740334,1,0,1,1,,
葡萄,植物,水果,0.673460444,0,0,0,0,,
开心果,植物,水果,0.672062914,1,0,1,0,,
杨梅,植物,水果,0.664846944,0,0,0,0,,
板栗,植物,水果,0.660996624,0,0,0,0,,
核桃,植物,水果,0.656898288,0,0,0,0,,
桑葚,植物,水果,0.620968879,1,0,1,0,,
椰子,植物,水果,0.613835719,0,0,0,0,,
柑橘,植物,水果,0.60081653,0,0,0,0,,
枸杞,植物,水果,0.594415614,0,0,0,0,,
芒果,植物,水果,0.591485312,0,0,0,0,,
槟榔,植物,水果,0.590755081,0,0,0,0,,
黑莓,植物,水果,0.584224828,0,0,0,0,,
枣,植物,水果,0.581825159,0,0,0,0,,
杨桃,植物,水果,0.581346444,0,1,1,0,,
木瓜,植物,水果,0.57753126,0,0,0,0,,
西瓜,植物,水果,0.573269835,0,0,0,0,,
苔藓,植物,水果,0.568572561,0,0,0,0,,
杏仁,植物,水果,0.551302457,0,0,0,0,,
枇杷,植物,水果,0.550396361,0,0,0,0,,
哈密瓜,植物,水果,0.550170069,0,0,0,0,,
橄榄,植物,水果,0.549943871,0,0,0,0,,
山楂,植物,水果,0.544766881,1,0,1,1,,
荔枝,植物,水果,0.543200939,0,0,0,0,,
桃子,植物,水果,0.540526871,0,0,0,0,,
蔓越莓,植物,水果,0.533240225,0,0,0,0,,
山竹,植物,水果,0.521739161,0,0,0,0,,
脐橙,植物,水果,0.519810377,1,0,1,1,,
柚子,植物,水果,0.51279721,0,0,0,0,,
石榴,植物,水果,0.510479889,0,0,0,0,,
百香果,植物,水果,0.502966121,0,0,0,0,,
甘蔗,植物,水果,0.500072793,1,0,1,1,,
鸭梨,植物,水果,0.474143037,0,0,0,0,,
桔子,植物,水果,0.471795959,0,0,0,0,,
水蜜桃,植物,水果,0.462131235,0,0,0,0,,
瓜子,植物,水果,0.418526927,0,0,0,0,,
白果,植物,水果,0.403511271,0,0,0,0,,
金橘,植物,水果,0.365813446,0,0,0,0,,
杏子,植物,水果,0.35481875,0,0,0,0,,
梨,植物,水果,0.349495468,0,0,0,0,,
李子,植物,水果,0.327230046,0,0,0,0,,
蜜桃,植物,水果,0.275792221,0,0,0,0,,
兰花,植物,花草,0.63053012,0,0,0,0,,5
雏菊,植物,花草,0.590755081,0,0,0,0,,
风信子,植物,花草,0.584946715,0,0,0,0,,
藏红花,植物,花草,0.58374408,0,0,0,0,,
蝴蝶兰,植物,花草,0.574214031,0,0,0,0,,
莲花,植物,花草,0.570446746,0,0,0,0,,
三叶草,植物,花草,0.527567493,0,0,0,0,,
仙人掌,植物,花草,0.527567493,1,0,1,1,,
天竺葵,植物,花草,0.520881065,0,0,0,0,,
鸡冠花,植物,花草,0.513642387,0,0,0,0,,
薰衣草,植物,花草,0.513642387,0,0,0,0,,
金银花,植物,花草,0.512164209,0,0,0,0,,
荷花,植物,花草,0.511742627,1,0,1,1,,
喇叭花,植物,花草,0.487649632,0,0,0,0,,
迷迭香,植物,花草,0.479265572,0,0,0,0,,
黄水仙,植物,花草,0.479067603,0,0,0,0,,
盆栽,植物,花草,0.47335948,0,0,0,0,,
麦穗,植物,花草,0.471405825,0,0,0,0,,
向日葵,植物,花草,0.468877205,0,0,0,1,,
茶花,植物,花草,0.467907991,0,0,0,0,,
棉花,植物,花草,0.466554187,0,0,0,0,,
玫瑰,植物,花草,0.465011388,0,0,0,0,,
郁金香,植物,花草,0.462131235,0,0,0,0,,
捕蝇草,植物,花草,0.452835662,0,0,0,0,,
牡丹,植物,花草,0.44094876,0,1,1,0,,
映山红,植物,花草,0.434747814,0,0,0,0,,
金钱草,植物,花草,0.434023393,0,0,0,0,,
水草,植物,花草,0.433300037,0,0,0,0,,
夜来香,植物,花草,0.432397337,0,0,0,0,,
玉兰,植物,花草,0.432216996,0,0,0,0,,
丁香,植物,花草,0.427551276,0,0,0,0,,
夹竹桃,植物,花草,0.423283653,0,0,0,0,,
菊花,植物,花草,0.418526927,1,0,1,1,,
连翘,植物,花草,0.416253205,0,0,0,0,,
迎春花,植物,花草,0.399113837,0,0,0,0,,
百合,植物,花草,0.393590587,0,0,0,0,,
含羞草,植物,花草,0.389613911,0,0,0,0,,
满天星,植物,花草,0.386489417,0,0,0,0,,
青苔,植物,花草,0.367069069,0,0,0,0,,
油菜花,植物,花草,0.365656735,0,0,0,0,,
海棠,植物,花草,0.362533746,0,0,0,0,,
草,植物,花草,0.35665842,0,0,0,0,,
罂粟,植物,花草,0.354971771,0,0,0,0,,
昙花,植物,花草,0.350555104,0,0,0,0,,
水仙花,植物,花草,0.348891081,0,0,0,0,,
梅花,植物,花草,0.338296869,0,0,0,1,,
康乃馨,植物,花草,0.307137874,0,0,0,0,,
蒲公英,植物,花草,0.306589089,0,0,0,0,,
葵花,植物,花草,0.28027615,0,0,0,0,,
猪笼草,植物,花草,0.269595535,0,0,0,0,,
浮萍,植物,花草,0.256503802,0,0,0,0,,
茉莉花,植物,花草,0.16964805,0,0,0,0,,
红薯,植物,蔬菜,0.868829132,1,1,2,1,,6
黄瓜,植物,蔬菜,0.834310348,0,1,1,0,,
西红柿,植物,蔬菜,0.833594152,0,1,1,0,,
胡萝卜,植物,蔬菜,0.809677021,0,1,1,0,,
西兰花,植物,蔬菜,0.804855232,1,1,2,1,,
莲藕,植物,蔬菜,0.782577205,0,1,1,0,,
蚕豆,植物,蔬菜,0.768452887,0,1,1,0,,
金针菇,植物,蔬菜,0.758774809,0,0,0,0,,
山药,植物,蔬菜,0.756217949,0,0,0,0,,
芋头,植物,蔬菜,0.746089683,0,0,0,0,,
萝卜,植物,蔬菜,0.745461882,1,0,1,1,,
海带,植物,蔬菜,0.741707813,0,1,1,0,,
绿豆,植物,蔬菜,0.734573024,0,0,0,0,,
灯笼椒,植物,蔬菜,0.728127175,0,0,0,0,,
青菜,植物,蔬菜,0.716926293,1,0,1,0,,
荷兰豆,植物,蔬菜,0.703859355,0,0,0,0,,
大头菜,植物,蔬菜,0.703271808,0,0,0,0,,
番茄,植物,蔬菜,0.68191325,1,1,2,1,,
丝瓜,植物,蔬菜,0.667889423,0,0,0,0,,
银耳,植物,蔬菜,0.663193811,0,0,0,0,,
卷心菜,植物,蔬菜,0.662918727,1,1,2,1,,
白萝卜,植物,蔬菜,0.652557209,0,0,0,0,,
莴笋,植物,蔬菜,0.643435374,1,0,1,0,,
洋葱,植物,蔬菜,0.63602659,0,0,0,0,,
玉米,植物,蔬菜,0.62896905,0,0,0,0,,
芹菜,植物,蔬菜,0.62767131,0,0,0,0,,
土豆,植物,蔬菜,0.616119019,0,1,1,0,,
西葫芦,植物,蔬菜,0.615610845,0,0,0,0,,
马齿苋,植物,蔬菜,0.613835719,0,0,0,0,,
大蒜,植物,蔬菜,0.612318483,0,0,0,0,,
冬瓜,植物,蔬菜,0.58326374,0,0,0,0,,
茄子,植物,蔬菜,0.581346444,0,0,0,0,,
豆子,植物,蔬菜,0.58062913,0,0,0,0,,
豇豆,植物,蔬菜,0.573977833,0,0,0,0,,
甘蓝,植物,蔬菜,0.555855431,0,0,0,0,,
葱,植物,蔬菜,0.55243718,0,0,0,0,,
菠菜,植物,蔬菜,0.550849222,0,0,0,0,,
白菜,植物,蔬菜,0.549717766,0,0,0,0,,
豌豆,植物,蔬菜,0.549491754,0,1,1,0,,
酸菜,植物,蔬菜,0.547011743,0,0,0,0,,
南瓜,植物,蔬菜,0.546562034,0,0,0,0,,
生菜,植物,蔬菜,0.543647894,0,0,0,0,,
香菇,植物,蔬菜,0.543647894,0,0,0,0,,
扁豆,植物,蔬菜,0.538087115,0,0,0,0,,
大豆,植物,蔬菜,0.533898619,0,0,0,0,,
平菇,植物,蔬菜,0.53280174,0,0,0,0,,
木耳,植物,蔬菜,0.53236361,0,0,0,0,,
花菜,植物,蔬菜,0.531051347,0,0,0,0,,
泡菜,植物,蔬菜,0.528001746,0,0,0,0,,
海藻,植物,蔬菜,0.52691677,0,0,0,0,,
笋,植物,蔬菜,0.524321724,1,0,1,1,,
香菜,植物,蔬菜,0.520881065,0,0,0,0,,
高粱,植物,蔬菜,0.520452533,0,0,0,0,,
四季豆,植物,蔬菜,0.515336782,0,1,1,0,,
韭菜,植物,蔬菜,0.510059643,0,0,0,0,,
毛豆,植物,蔬菜,0.502758926,0,0,0,0,,
蘑菇,植物,蔬菜,0.502137829,0,0,0,0,,
蕨菜,植物,蔬菜,0.488656847,0,0,0,0,,
茼蒿,植物,蔬菜,0.468877205,0,0,0,0,,
海草,植物,蔬菜,0.465396649,0,0,0,0,,
蒜泥,植物,蔬菜,0.459077043,0,0,0,0,,
豆芽,植物,蔬菜,0.451334217,0,0,0,0,,
小白菜,植物,蔬菜,0.450211083,0,0,0,0,,
刀豆,植物,蔬菜,0.437291716,0,0,0,0,,
甜玉米,植物,蔬菜,0.427551276,0,0,0,0,,
秋葵,植物,蔬菜,0.368643451,0,0,0,0,,
海苔,植物,蔬菜,0.31910934,0,0,0,0,,
石头,自然物,自然物,0.863205785,0,1,1,0,5,
冰块,自然物,自然物,0.800067536,0,1,1,0,,
粪便,自然物,自然物,0.69394542,0,0,0,0,,
宝石,自然物,自然物,0.685898014,0,1,1,0,,
钻石,自然物,自然物,0.640248871,1,1,2,1,,
珍珠,自然物,自然物,0.619688691,1,1,2,0,,
篝火,自然物,自然物,0.611561348,0,0,0,0,,
岩石,自然物,自然物,0.559294956,1,1,2,1,,
煤气,自然物,自然物,0.519382701,0,0,0,0,,
水晶,自然物,自然物,0.500278931,1,1,2,1,,
大理石,自然物,自然物,0.417301286,1,1,2,0,,
白银,自然物,自然物,0.41590435,0,1,1,0,,
海洋,自然物,自然物,0.409323661,0,0,0,0,,
地球,自然物,自然物,0.40232334,0,0,0,0,,
火焰,自然物,自然物,0.372603174,0,0,0,0,,
煤炭,自然物,自然物,0.35665842,0,0,0,0,,
石油,自然物,自然物,0.341552765,0,0,0,0,,
沙粒,自然物,自然物,0.339330251,0,1,1,1,,
露珠,自然物,自然物,0.301952653,1,0,1,1,,
煤田,自然物,自然物,0.204225423,0,0,0,0,,
骨头,身体部位,身体部位,0.742019821,0,0,0,0,20,
胡须,身体部位,身体部位,0.674580773,1,1,2,1,,
牙齿,身体部位,身体部位,0.671225927,1,1,2,1,,
头发,身体部位,身体部位,0.660996624,1,1,2,1,,
皮肤,身体部位,身体部位,0.656353939,0,1,1,0,,
脚趾,身体部位,身体部位,0.647710693,0,1,1,0,,
膝盖,身体部位,身体部位,0.631834175,1,1,2,1,,
头,身体部位,身体部位,0.583503859,1,1,2,1,,
耳朵,身体部位,身体部位,0.578720736,1,1,2,1,,
脚,身体部位,身体部位,0.556541627,1,0,1,1,,
指纹,身体部位,身体部位,0.551983011,0,0,0,0,,
手指,身体部位,身体部位,0.541639474,0,1,1,1,,
脚背,身体部位,身体部位,0.538973034,0,0,0,0,,
关节,身体部位,身体部位,0.527567493,0,1,1,0,,
指甲,身体部位,身体部位,0.506918395,1,0,1,0,,
泪珠,身体部位,身体部位,0.501724172,1,0,1,1,,
辫子,身体部位,身体部位,0.490677158,0,0,0,0,,
脚后跟,身体部位,身体部位,0.479661737,0,1,1,0,,
臀部,身体部位,身体部位,0.456419715,0,0,0,0,,
肋骨,身体部位,身体部位,0.45302366,0,0,0,0,,
眉毛,身体部位,身体部位,0.452084377,1,1,2,1,,
腿,身体部位,身体部位,0.448903941,1,0,1,1,,
大腿,身体部位,身体部位,0.434566609,0,0,0,0,,
头皮,身体部位,身体部位,0.429161305,0,1,1,0,,
睫毛,身体部位,身体部位,0.417301286,1,0,1,0,,
嘴唇,身体部位,身体部位,0.417301286,1,0,1,1,,
口腔,身体部位,身体部位,0.409839925,0,0,0,0,,
眼睛,身体部位,身体部位,0.381435957,0,1,1,1,,
鼻子,身体部位,身体部位,0.371015193,1,0,1,1,,
耳垂,身体部位,身体部位,0.361445731,0,0,0,0,,
手臂,身体部位,身体部位,0.347082788,1,0,1,1,,
手掌,身体部位,身体部位,0.329970801,1,0,1,1,,
拇指,身体部位,身体部位,0.328237808,1,1,2,1,,
大脑,身体部位,身体部位,0.318968214,1,0,1,1,,
肩膀,身体部位,身体部位,0.271104469,0,0,0,0,,
羽毛,身体部位,身体部位,0.20105057,0,0,0,0,,
心脏,身体部位,身体部位,0.178362933,1,0,1,1,,
骨灰,身体部位,身体部位,0.138635563,0,0,0,0,,
血管,身体部位,身体部位,0.076799729,1,0,1,1,,
米饭,食物,固态干粮,1,0,0,0,1,20,7
饼干,食物,固态干粮,0.895674603,1,0,1,0,,
鸡蛋,食物,固态干粮,0.872224681,0,0,0,0,,
烧烤,食物,固态干粮,0.851724369,0,0,0,0,,
热狗,食物,固态干粮,0.851357108,0,0,0,0,,
甜点,食物,固态干粮,0.846600168,0,0,0,0,,
披萨,食物,固态干粮,0.838262719,0,0,0,0,,
罐头,食物,固态干粮,0.831093297,0,0,0,0,,
糕点,食物,固态干粮,0.818023321,0,0,0,0,,
饺子,食物,固态干粮,0.815578413,1,0,1,1,,
火锅,食物,固态干粮,0.793623836,0,0,0,0,,
馒头,食物,固态干粮,0.793286399,1,0,1,0,,
煎饼,食物,固态干粮,0.789250331,0,0,0,0,,
坚果,食物,固态干粮,0.771057941,0,0,0,0,,
馄饨,食物,固态干粮,0.76747864,0,0,0,0,,
油条,食物,固态干粮,0.759415589,0,0,0,0,,
方便面,食物,固态干粮,0.756537009,1,0,1,1,,
果冻,食物,固态干粮,0.751767412,0,0,0,0,,
炸薯条,食物,固态干粮,0.749237845,0,0,0,0,,
土豆泥,食物,固态干粮,0.746718094,0,0,0,0,,
冰淇淋,食物,固态干粮,0.745775706,0,0,0,0,,
寿司,食物,固态干粮,0.742019821,0,0,0,0,,
香烟,食物,固态干粮,0.733032406,0,0,0,0,,
葡萄干,食物,固态干粮,0.731188536,0,0,0,0,,
大米,食物,固态干粮,0.725992917,1,0,1,0,,
荞麦,食物,固态干粮,0.725992917,0,1,1,0,,
干果,食物,固态干粮,0.721141289,0,0,0,0,,
凉皮,食物,固态干粮,0.713932664,0,0,0,0,,
牛肉面,食物,固态干粮,0.705920118,0,0,0,0,,
卷饼,食物,固态干粮,0.701512468,0,0,0,0,,
小麦,食物,固态干粮,0.700050121,0,0,0,0,,
蛋糕,食物,固态干粮,0.698882703,1,0,1,1,,
蛋黄,食物,固态干粮,0.696263973,0,0,0,0,,
米线,食物,固态干粮,0.691923754,0,0,0,0,,
炒面,食物,固态干粮,0.689908653,0,0,0,0,,
炸酱面,食物,固态干粮,0.689047039,0,0,0,0,,
汉堡,食物,固态干粮,0.685327183,0,0,0,0,,
冰糖葫芦,食物,固态干粮,0.682480927,0,0,0,0,,
巧克力,食物,固态干粮,0.681629607,0,0,0,0,,
白饭,食物,固态干粮,0.680213353,0,0,0,0,,
豆腐脑,食物,固态干粮,0.676827601,0,0,0,0,,
玉米面,食物,固态干粮,0.668721838,0,0,0,0,,
油饼,食物,固态干粮,0.660448571,0,0,0,0,,
糖果,食物,固态干粮,0.653639547,0,0,0,0,,
面粉,食物,固态干粮,0.634188752,0,1,1,0,,
凉粉,食物,固态干粮,0.633926669,0,0,0,0,,
烤面包,食物,固态干粮,0.63053012,0,0,0,0,,
甜甜圈,食物,固态干粮,0.629749068,0,0,0,0,,
大饼,食物,固态干粮,0.623537684,0,0,0,0,,
三明治,食物,固态干粮,0.619432989,0,0,0,1,,
奶油,食物,固态干粮,0.614849414,0,0,0,0,,
蜜饯,食物,固态干粮,0.609547138,0,0,0,0,,
布丁,食物,固态干粮,0.60280048,0,0,0,0,,
比萨,食物,固态干粮,0.592704445,0,0,0,0,,
馅饼,食物,固态干粮,0.59026878,0,0,0,0,,
牛轧糖,食物,固态干粮,0.583984403,0,0,0,0,,
臭豆腐,食物,固态干粮,0.583503859,0,0,0,0,,
煎蛋卷,食物,固态干粮,0.579435628,0,0,0,0,,
沙拉,食物,固态干粮,0.574686724,0,0,0,0,,
包子,食物,固态干粮,0.573505735,0,0,0,0,,
荷包蛋,食物,固态干粮,0.573505735,0,0,0,0,,
奶酪,食物,固态干粮,0.569274644,1,1,2,1,,
豆腐,食物,固态干粮,0.562062029,0,0,0,0,,
面筋,食物,固态干粮,0.561830912,0,0,0,0,,
葵花籽,食物,固态干粮,0.559064989,0,0,0,0,,
小米,食物,固态干粮,0.55380194,0,0,0,0,,
花生,食物,固态干粮,0.550396361,0,0,0,0,,
意大利面,食物,固态干粮,0.537202637,0,0,0,0,,
棉花糖,食物,固态干粮,0.536540222,1,0,1,1,,
棒棒糖,食物,固态干粮,0.534997723,0,0,0,0,,
豆腐干,食物,固态干粮,0.531925835,0,0,0,0,,
花生米,食物,固态干粮,0.518955368,0,0,0,0,,
谷物,食物,固态干粮,0.51406548,0,0,0,0,,
雪茄,食物,固态干粮,0.505458845,0,0,0,0,,
冰棍,食物,固态干粮,0.487448424,1,0,1,0,,
爆米花,食物,固态干粮,0.481647152,1,0,1,0,,
咖啡豆,食物,固态干粮,0.478276491,0,0,0,0,,
狗粮,食物,固态干粮,0.465782202,0,0,0,0,,
通心粉,食物,固态干粮,0.456230442,0,0,0,0,,
芝麻,食物,固态干粮,0.447786252,0,0,0,0,,
泡泡糖,食物,固态干粮,0.398945516,0,0,0,0,,
鸡肉,食物,肉食,0.934187964,0,1,1,1,,4
火腿肠,食物,肉食,0.897239361,0,1,1,1,,
香肠,食物,肉食,0.877539087,0,1,1,0,,
猪肉,食物,肉食,0.816625159,0,0,0,0,,
鸭肉,食物,肉食,0.80588559,0,0,0,0,,
红烧肉,食物,肉食,0.803483856,0,1,1,1,,
腊肠,食物,肉食,0.77007984,0,0,0,0,,
鱼丸,食物,肉食,0.751767412,0,1,1,0,,
炖肉,食物,肉食,0.71903029,0,0,0,0,,
鸭脖,食物,肉食,0.713037334,0,0,0,0,,
牛肉干,食物,肉食,0.694234767,0,0,0,0,,
牛肉,食物,肉食,0.671783791,0,0,0,0,,
羊肉,食物,肉食,0.649053023,0,0,0,0,,
生鱼片,食物,肉食,0.640778772,0,0,0,0,,
烤肉串,食物,肉食,0.635763693,0,0,0,0,,
腊肉,食物,肉食,0.624310526,0,0,0,0,,
驴肉,食物,肉食,0.617391397,0,0,0,0,,
火腿,食物,肉食,0.595395729,0,0,0,1,,
烤肉,食物,肉食,0.582064669,0,0,0,0,,
烤羊肉,食物,肉食,0.578720736,0,0,0,0,,
牛排,食物,肉食,0.57848264,0,0,0,0,,
肉丸,食物,肉食,0.569040518,0,0,0,0,,
狗肉,食物,肉食,0.55471366,0,0,0,0,,
烤翅,食物,肉食,0.543200939,0,0,0,0,,
涮羊肉,食物,肉食,0.528653782,0,0,0,0,,
肉末,食物,肉食,0.521524508,0,0,0,0,,
培根,食物,肉食,0.443709383,0,0,0,0,,
番茄酱,食物,调料,0.883661556,0,1,1,0,,3
调料,食物,调料,0.866574429,0,1,1,0,,
果酱,食物,调料,0.848425931,0,1,1,0,,
草莓酱,食物,调料,0.835027285,1,0,1,1,,
红糖,食物,调料,0.81175403,0,1,1,0,,
辣椒酱,食物,调料,0.80519851,0,0,0,0,,
沙拉酱,食物,调料,0.792275102,0,0,0,0,,
花生酱,食物,调料,0.776299069,0,0,0,0,,
黄油,食物,调料,0.75462498,0,0,0,0,,
酱油,食物,调料,0.743895037,0,0,0,0,,
椒盐,食物,调料,0.710655978,0,0,0,0,,
辣椒粉,食物,调料,0.629228941,0,0,0,0,,
白糖,食物,调料,0.580151427,0,0,0,0,,
醋,食物,调料,0.565540354,0,0,0,1,,
味精,食物,调料,0.560907405,0,0,0,0,,
冰糖,食物,调料,0.55380194,0,0,0,1,,
白砂糖,食物,调料,0.539416535,0,0,0,0,,
豆豉,食物,调料,0.517036588,0,0,0,0,,
花生油,食物,调料,0.499660758,0,0,0,0,,
黑胡椒,食物,调料,0.49351884,0,0,0,0,,
胡椒,食物,调料,0.491284785,0,0,0,0,,
蔗糖,食物,调料,0.374995447,0,1,1,0,,
油,食物,调料,0.341107373,0,0,0,0,,
红酒,食物,酒水饮料,0.939561708,0,1,1,0,,6
红茶,食物,酒水饮料,0.832163984,0,1,1,0,,
热水,食物,酒水饮料,0.810022749,0,0,0,0,,
稀饭,食物,酒水饮料,0.808295867,0,0,0,0,,
豆浆,食物,酒水饮料,0.806917517,1,0,1,0,,
八宝粥,食物,酒水饮料,0.802457145,0,0,0,0,,
纯净水,食物,酒水饮料,0.780588221,0,0,0,0,,
冰红茶,食物,酒水饮料,0.773345827,0,1,1,0,,
菠萝汁,食物,酒水饮料,0.77007984,0,0,0,0,,
糖浆,食物,酒水饮料,0.76747864,0,0,0,0,,
清汤,食物,酒水饮料,0.762951134,0,0,0,0,,
苹果汁,食物,酒水饮料,0.762628932,0,0,0,0,,
酸奶,食物,酒水饮料,0.748606989,0,0,0,0,,
苏打水,食物,酒水饮料,0.747032528,0,0,0,0,,
鸡尾酒,食物,酒水饮料,0.744834688,0,0,0,0,,
肉汤,食物,酒水饮料,0.744208102,0,0,0,0,,
牛奶,食物,酒水饮料,0.728432652,1,0,1,1,,
果汁,食物,酒水饮料,0.723865778,1,0,1,1,,
乌龙茶,食物,酒水饮料,0.696263973,0,0,0,0,,
绿豆汤,食物,酒水饮料,0.68933411,0,0,0,0,,
蜂蜜,食物,酒水饮料,0.687900083,0,1,1,0,,
柠檬水,食物,酒水饮料,0.68191325,0,0,0,0,,
葡萄酒,食物,酒水饮料,0.68191325,1,0,1,1,,
咖啡,食物,酒水饮料,0.681062714,0,0,0,0,,
奶茶,食物,酒水饮料,0.652827611,0,0,0,0,,
白粥,食物,酒水饮料,0.64851573,0,0,0,0,,
白酒,食物,酒水饮料,0.645302063,1,0,1,1,,
牦牛奶,食物,酒水饮料,0.64316918,0,0,0,0,,
羹汤,食物,酒水饮料,0.642903105,0,0,0,0,,
冰咖啡,食物,酒水饮料,0.641574509,0,0,0,0,,
粥,食物,酒水饮料,0.640248871,1,0,1,1,,
二锅头,食物,酒水饮料,0.634975699,0,0,0,0,,
香槟,食物,酒水饮料,0.631834175,0,0,0,0,,
豆奶,食物,酒水饮料,0.619177399,0,0,0,0,,
瓶装水,食物,酒水饮料,0.617136699,0,0,0,0,,
燕麦片,食物,酒水饮料,0.604043929,0,0,0,0,,
茶,食物,酒水饮料,0.603546227,0,0,0,0,,
清酒,食物,酒水饮料,0.593681628,0,0,0,0,,
奶粉,食物,酒水饮料,0.571621306,0,0,0,0,,
茶包,食物,酒水饮料,0.560907405,0,0,0,0,,
可口可乐,食物,酒水饮料,0.554941825,0,0,0,0,,
汽水,食物,酒水饮料,0.553119138,1,0,1,1,,
橙汁,食物,酒水饮料,0.551529215,0,0,0,0,,
百事可乐,食物,酒水饮料,0.544766881,0,0,0,0,,
普洱茶,食物,酒水饮料,0.544766881,0,0,0,0,,
葡萄汁,食物,酒水饮料,0.536760937,0,0,0,0,,
碧螺春,食物,酒水饮料,0.518528376,0,0,0,0,,
菜籽油,食物,酒水饮料,0.516186007,0,0,0,0,,
,,,,98,109,,140,,